"Timestamp","Subject ID","Room","Would you have benefited from better instruction or more practice trials?","Describe a typical trial in the experiment.","What strategy did you use to learn the names for the sounds?","Type as many of the words that you learned that you can remember.","What did each of the words you remembered above mean in the context of the experiment?","What is your age?","Is English the primary language spoken in your home?","Do you speak any languages other than English?","If you responded 'yes' above, please list which other languages you speak."
"2016/12/02 3:02:18 PM CST","LSN133","LL-George","No, I understood well what I was supposed to do.","Eaverlusha was a water type sound, dundundun was a knife tapping a glass sound, schop was tearing, and izzip was zipping","the names help because they relate to the sound","Eaverlusha, dundundun, schoop, izzip","Eaverlusha: rushing water
dundundun: knife taping glass sound
schoop: tearing paper
izzip: zipping something together ","19","Yes","No",""
"2016/12/02 3:30:51 PM CST","LSN137","LL-Kramer","No, I understood well what I was supposed to do.","I heard sounds then had to determine if the word given after the sound was the correct word to label the sound. ","I guessed based on if the word itself sounded like the noise that was made.","crishhh, fwip, blowosh, cliq","Crishhh, sounded like a ripping noise, Fwip, like a zipper, Blowosh, like a kerplunk, and Cliq, like a clanking noise. ","19","Yes","No",""
"2016/12/02 3:36:39 PM CST","LSN138","LL-George","No, I understood well what I was supposed to do.","a series of repeated words combined with a series of repeated sounds expecting you to match them accordingly based off of trial and error","they each could be categorized by a certain type of sound","choo, pshhht, fshfshfsh, ti...(can't remember at all how it was spelled)","choo: zipper sound, pshhht: paper ripping, fshfshfsh: has to do with water, ti...: glasses clanking(and/or breaking)","20","Yes","Yes",""
"2016/12/02 4:09:00 PM CST","LSN141","LL-ELAINE","No, I understood well what I was supposed to do.","I heard the four different types of sounds and four different words and tried to match the right word to the right sounds. ","Once it was a green check, I kept hitting green for that word anytime it matched with a similar sound. It was harder to distinguish the zipper and paper tearing and their words. I had an easier time with the other two. ","dicdicdic, glonglon","dicdicdic: it meant the sound of glass touching. glonglon: meant the sound of water or liquid ","18","Yes","No",""
"2016/12/02 4:10:19 PM CST","LSN140","LL-George","No, I understood well what I was supposed to do.","You would hear a sound be played, and a word pop up that is used to describe the sound. By trial and error you would learn which noise corresponds to which word.","I guessed based on how I would spell the sounds I heard. I think the splashing noise was easier to learn.","brrip, bloosh, crish, cleek","brrip; this word resembles the sound of a zipper being zipped. Indicates the zipping of something. bloosh; this word resembles the sound of something splashing in water, either as it enters or exits the water. crish; this word resembles the sound of something being ripped such as a piece of paper. cleek; this word resembles a ringing sound of something like a bell.","19","No","No","Albanian"
"2016/12/02 4:12:56 PM CST","LSN139","LL-Kramer","No, I understood well what I was supposed to do.","I heard a noise and then was asked if it matched with the following word and if it did similar noises would also match to that same word.","I grouped similar sounds to that specific word. ","eeverlusha, izzip, da da da, shea, ","eeverlusha: the splashing of water or water hitting an object
izzip: the sound of a zipper being opened 
da da da: the sound that comes from hitting a glass","19","No","No","Spanish"
"2016/12/02 4:37:09 PM CST","LSN142","LL-Kramer","No, I understood well what I was supposed to do.","I would hear the noise than a word would pop up and I would have to state if the word was correct or incorrect for the sound","I just recognized that the sounds sounded like the words ","dzzz, cheecka, everanea","a zipper, water","19","Yes","No",""
"2016/12/05 12:34:50 PM CST","LSN143","LL-Kramer","No, I understood well what I was supposed to do.","Different sounds with corresponding words","Memorized which sounds go with which words","Bloosh, Cliq, Crizzz, growfff","Bloosh was water, cliq was two glasses hitting each other, growfff was a zipper, and crizzz was a paper ripping","19","Yes","Yes","ARABIC"
"2016/12/06 12:47:55 PM CST","LSN145","LL-George","No, I understood well what I was supposed to do.","I would listen to a sound, then I was presented with a word, and I would click yes or no if the word matched the sound. ","The sounds sounded like the words were spelled. ","dzzzz, eaverlusha, dundundun, sheah","Splash, glasses clinking, zipping, and ripping. ","18","Yes","No",""
"2016/12/06 12:50:44 PM CST","LSN146","LL-ELAINE","No, I understood well what I was supposed to do.","heard sounds and had to match with made up names for these sounds","i guessed randomly then tried to remember the names based on the sounds","blowash, fwip, atiago, creech","blowash, some sound dealing with water. Fwip, a zipper like sound. atiago, this one was a bell noise. Creech, this word sounding like a piece of paper ripping.","18","Yes","No",""
"2016/12/06 12:52:16 PM CST","LSN144","LL-Kramer","No, I understood well what I was supposed to do.","The sound of pouring out a great amount of water.","To identify the feature of the sound and try to remember them.","3","Dicdicdic, the sound is like you are knocking the glass to make the delicate sound.","20","No","Yes","chinese"
"2016/12/06 12:54:59 PM CST","LSN147","LL-Jerry","No, I understood well what I was supposed to do.","heard sounds and had to match them with the words ","I didn't use a specific strategy ","Hsweid, Ticcticctic, Glonnonnoglon, zerp, ","I don't think any of them had a specific meaning","18","Yes","No",""
"2016/12/06 4:21:27 PM CST","LSN148","LL-George","No, I understood well what I was supposed to do.","There were 4 different noises and after each noise they would flash a word and you push either the green button or red button depending on whether the word shown was correct. ","Parts of the words reminded me of the sound","eaverlusha, schoo, izipp, da da da","Eaverlusha was a sound with water, schoo was a sound of ripping paper, izipp was the sound of a zipper, and da da da was the sound of a bell of some sort","18","Yes","No",""
"2016/12/06 4:27:59 PM CST","LSN151","LL-Jerry","No, I understood well what I was supposed to do.","Water for Ever, Zipper for Ewop, Glass clanking for da da da, and paper ripping for cheooooo","By what they sounded like","Everlutia, Ewop, Da Da Da, Cheoooo","Everlutia: disruption of water, Ewop: zipping of something, Cheooo: Ripping of paper or rubbing of sandpaper, Da Da Da: Clanking of class/dropping something into a glass","19","Yes","No",""
"2016/12/06 4:28:20 PM CST","LSN150","LL-ELAINE","No, I understood well what I was supposed to do.","A speaker symbol appeared on the screen as one of four sounds played and a nonsense word appeared after. I had to indicate if the nonsense word matched the sound. ","I initially guessed yes to all sound-word pairings and as I got them wrong I eliminated the wrong answers mentally until one matched. ","dicdicdic, ashtoosh, pcth, briww","dicdicdic: clanking of glass against glass, Ashtoosh: the sound of moving water or splashing water, briww: a zipper being opened or closed, pcth: the sound of a point scratching against something else.","20","Yes","Yes","Spanish"
"2016/12/06 4:28:26 PM CST","LSN149","LL-Kramer","No, I understood well what I was supposed to do.","A noise was first presented, then a word showed on the screen immediately after, then I had to determine if the noise corresponding with the word by clicking either the green or button","I would sometimes forget what antigna sounded like, otherwise the other ones were pretty distinct","clish, antigna, guplunk, growuff","Clish: uncomfortable, cringing feeling
Antigna: happy, celebration
Guplunk: drenching something in order to clean it
Growuff: doing something quickly","18","Yes","No",""
"2016/12/06 4:48:44 PM CST","LSN152","LL-George","No, I understood well what I was supposed to do.","Heard a sound, yes or no to a word","First it was generalization then memeory","Guplunk, chik, fwip, ","water sound, banging glasses, zipper","20","Yes","No",""
"2016/12/06 5:30:08 PM CST","LSN153","LL-Kramer","No, I understood well what I was supposed to do.","I saw the sound emoticon, and then the sound, and then a blank screen, and then the word. ","after I got one wrong for pressing know, I realized the first couple of times the answer was all yes so you could associate the word with the sound rather than what the word is NOT with the sound. All of the sounds kind of made sense with the word, like clink and boonk both have ""nk,"" ripping paper sounds like ""ccchhhhrrrrr"" and the word was ""phhhhst,"" zippers sound like ""zzzzzzzzr"" and the word was ""grrir,"" and the soft sound of water related to the two ""sh"" sounds in the word ashtoosh. ","Ashtoosh, grrir, pshhht, and boonk. ","Ashtoosh; water splashing
Grrir; a zipper going up
Pshhht; ripping paper
Boonk; clinking wine glass","19","Yes","Yes",""
"2016/12/07 12:12:29 PM CST","LSN155","LL-George","No, I understood well what I was supposed to do.","i heard a sound then saw a word and i had to respond yes or no if i thought that word described the sound","i remembered what word was associated with what sound, the words that started with c's were the harder ones for me","blowish, cleek, crish, briiip","blowish was water; briiip was a zipper","19","Yes","No",""
"2016/12/07 12:14:24 PM CST","LSN154","LL-Kramer","No, I understood well what I was supposed to do.","I saw made up words and associated them with known sounds","I just associate them with real life words","izit, dundunduh. cheooo, evolution","izit was zipper, dundunduh was the sound of glass, cheooo was a scratch, and evolution was the sound of water splashing. ","18","Yes","Yes","Spanish"
"2016/12/07 12:17:53 PM CST","LSN156","LL-ELAINE","No, I understood well what I was supposed to do.","I would listen to a sound first, then a word would appear on the screen. I would have to press the green button if I thought that word matched the sound or red if it was wrong. It would then tell me if I was right or wrong. ","I said the noise in my head before the word showed up in order to memorize it.","chaaaa, tateh. fshfshfsh","Chaa; paper split. Tateh; glasses clanked. fshfshfsh; water pouring ","18","Yes","Yes","Spanish "
"2016/12/07 12:51:12 PM CST","LSN158","LL-Kramer","No, I understood well what I was supposed to do.","Listened for cue then remembered  word","memory, none of them were hard","guplunk, fwip, atinga, crish","sound","18","Yes","Yes","latin, punjabi"
"2016/12/07 12:54:20 PM CST","LSN157","LL-Jerry","No, I understood well what I was supposed to do.","i heard different sounds and had to associate them with different words ","the words sounded like water, bells, a zipper and paper being ripped and then i just associated each type of sound with the correct word that I learned ","da da da, smoof, bizz, everfulusha ","everfulusha: a sound relating to liquid. da da da: a bell type sound, something hitting something with force. smoof: the sound of something ripping. bizz: the sound of a zipper. ","19","Yes","No",""
"2016/12/07 12:55:02 PM CST","LSN159","LL-George","No, I understood well what I was supposed to do.","I would here a sound then I would be presented with a word and I would try to match the two. Once I figured out which sound went with each word it was easy. Each round the sounds would slightly change but it was still easy.","I started out by answering yes to all of them until I was able to figure out which sound correctly matched the word. ","fshfshfsh, dicdicdic, arrgt, choo","fshfshfsh: water
dicdicdic: bottles clinging together
arrgt: zipper
choo: ripping piece of paper","18","Yes","Yes","I know Spanish but I do not speak it on a regular basis"
"2016/12/07 1:13:30 PM CST","LSN160","LL-ELAINE","No, I understood well what I was supposed to do.","I heard a noise that sounded like water and I matched that with ""everlutia"". I heard a noise that sounded like a pin dropping and i matched that with ""da da da"". I heard a noise that sounded like a zipper and I matched that with ""izzip"". I heard a noise that sounded like nails on a chalkboard and I matched that with ""cheecheea"".","Yes, i matched the sounds with familiar words then matched those words to the words presented on the screen. For two words I matched familiar words that were  very similar to the words presented on the screen. For example, for the noise that sounded like a zipper, that reminded me of ""izzip"". For the noise that sounded like nails on a chalkboard that reminded me of ""cheecheea"".","everlutia, izzip, da da da, cheecheea","everlutia; this word describes the action of a wave in the ocean. da da da; this word represents the babbling sequence that infants experience. izzip; this word is an adjective and it means hard or tough. cheecheea; this word means the action of working hard towards something. ","18","Yes","No","No."
"2016/12/07 1:38:04 PM CST","LSN161","LL-Jerry","No, I understood well what I was supposed to do.","I sound icon would appear on the screen followed by a sound. The sound icon would then disappear and a word would pop up. If they matched I would press green button and if they did not I would push the red button.","In the beginning it was a random guess but I began to associate similar sounds to the same words. Some names were easier because the word was similar to the sound.","Buink, Cshh, kaplunk, ","buink sounded like the hitting of two glasses together, while cshhh sounded like ripping paper, and kaplunk sounded like something being dropped in water.","18","Yes","No",""
"2016/12/07 1:47:41 PM CST","LSN162","LL-Kramer","No, I understood well what I was supposed to do.","heard a noise that matched with a word","matched sound to something I knew and then to the word","broo, teetch, ashoota, heiczh, ","broo: quick zip, Teetch: ding, ashoota: water, heiczh: long zip","20","Yes","No",""
"2016/12/07 2:17:09 PM CST","LSN164","LL-ELAINE","No, I understood well what I was supposed to do.","I heard a sound and then given a word. I had to find the correlation between the sounds and words.","Affiliating the sounds with parts of the words they went with. ","Blowrfosh, growoff, cleek, creech","Blowrfosh; a type of fish in water
Growoff; something green
Cleek; a petite maiden
Creech; the sound a door makes when opening ","18","Yes","No",""
"2016/12/07 2:19:05 PM CST","LSN163","LL-George","No, I understood well what I was supposed to do.","Through trial and error you learned words and sounds. the sounds were of a zipper, water sloshing, a paper ripping and a bottle dropping. Those matched the words; izzip, eeverlousha, sheyah, and dundundun. Then through the next few tests, the sounds altered a bit and you had to see if you could still classify the sounds using the same words that you had learned to pair through the first learning process.","By looking at the word displayed in front of me, I tried to see if the sound matched what the word sounded like. In the case of the zipper sound, I found that izzip was the correct choice. ","izzip, eeverlousha, sheyah, dundundun","Izzip; A sound that a zipper makes when it is being zipped.
Eeverlousha; A sound that water makes when it was being poured or sloshed around.
Sheyah;A sound that happens when a piece of paper is torn.
Dundundun; The sound that a bottle or something makes when you drop it.","20","Yes","No",""
"2016/12/09 1:29:53 PM CST","LSN165","LL-Kramer","No, I understood well what I was supposed to do.","I heard different sounds and then I matched each sound to the correct word","There wasn't really a strategy. They just matched up pretty quickly","fshfshfshfsh, psssshht, taatuh, briuh","fshfshfshfsh; water splashing, psssshht; velcro ripping, briuh; zipper zipping or unzipping, taatuh; the clinking of glass","19","Yes","No",""
"2016/12/09 1:36:48 PM CST","LSN166","LL-George","No, I understood well what I was supposed to do.","I would hear a sound ( one like a zipper, one like ripping paper, and one of flushing water) then after i heard the sound a word a word would appear on the screen and i'd have to press green if that word matched and red if it didn't","through trial and error. the zip in i think it was izippa gave me a clue that the sound that matched was the one that sounded like a zipper. The lush in i think it was evalusha reminded me of water so i matched it with that word.  they were all pretty easy to remember after that.","evalusha, izippa, cheeeeooo","evalusha means ever luscious such as water.  izippp mean you are the one  zipping up a jacket. cheeoooo means you rip apart a piece of paper.","18","Yes","Yes",""
"2016/12/09 1:49:29 PM CST","LSN167","LL-ELAINE","No, I understood well what I was supposed to do.","I was presented with an audio stimulus then presented a word to describe the audio. At first I had to learn the word association with the audio. Then had to repeat confirming or denying the word on screen described the audio that was presented.","I associated the word in English to the word presented on screen. It went from audio to how i would describe it in English, to the new word that was presented. ","cliq, blowlosh, crissshh, growllff","Cliq: the noise glass makes when hit or dropped. Blowlosh: I sound that water makes when it either runs or has something dropped in it. Crissshh: paper being torn. Growllff: Something being zipped","19","Yes","No",""
"2016/12/09 2:06:44 PM CST","LSN168","LL-Kramer","No, I understood well what I was supposed to do.","i heard a sound and then was flashed a word and I was supposed to know which word went along with which sound","I remembered the first letter of each word that went with whichever sound ","psshhh, galong, ","psshhh: I would describe it as the sound of paper ripping, galong: I would describe it as the sound of something being dropped into water. I remember other sounds just not their words.","18","Yes","Yes",""
"2016/12/09 2:13:41 PM CST","LSN169","LL-George","No, I understood well what I was supposed to do.","First I hear either sounds that in the category of water, zipping of something, ripping of something, and sound of glass. Then, words everlutia, sheah, bizz, and dundunduh (not sure) popped up.","I tried to relate letters in the words with the sound","everlutia, sheah, bizz, dundunduh","everlutia: water 
sheah: to tear
bizz: to rip
dundunduh: to clank glass","18","Yes","Yes","Mandarin"
"2016/12/09 2:28:11 PM CST","LSN170","LL-ELAINE","No, I understood well what I was supposed to do.","Sound (accompanied by the sound insignia) -> Noise (accompanied by a word)","the words are the onomatopoeia for the sounds so they were intuitive","creech, fwip, guplunk, buink","Creech: the sound of ripping or cutting paper; fwip: the sound of a zipper being opened fast enough for it to produce a distinct sound; guplunk: the sound of an object being thrown into a body of water, or water being poured; buink: the sound of a hollow glass body being struck hard enough to produce a clink","18","Yes","No",""